Date,000001.SS,HSI,^AORD,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^IXIC,^JKSE,^KS11,^MERV,^N225,^NSEI,^STI,^TWII
2022-01-03,,23274.80078125,,59183.21875,103922.0,36585.05859375,7217.22021484375,,16020.73046875,4796.56005859375,15832.7998046875,6665.30810546875,,85579.0,,17625.69921875,3134.25,18270.509765625
2022-01-04,3632.330078125,23289.80078125,7926.7998046875,59855.9296875,103514.0,36799.6484375,7317.41015625,7505.2001953125,16152.6103515625,4793.5400390625,15622.7197265625,6695.373046875,2989.239990234375,85286.0,29301.7890625,17805.25,3181.1298828125,18526.349609375
2022-01-05,3595.179931640625,22907.19921875,7899.60009765625,60223.1484375,101006.0,36407.109375,7376.3701171875,7516.89990234375,16271.75,4700.580078125,15100.169921875,6662.298828125,2953.969970703125,83836.0,29332.16015625,17925.25,3163.43994140625,18499.9609375
2022-01-06,3586.080078125,23072.900390625,7679.2998046875,59601.83984375,101561.0,36236.46875,7249.66015625,7450.39990234375,16052.0302734375,4696.0498046875,15080.8603515625,6653.35107421875,2920.530029296875,83748.0,28487.869140625,17745.900390625,3184.300048828125,18367.919921875
2022-01-07,3579.5400390625,23493.400390625,7774.39990234375,59744.6484375,102719.0,36231.66015625,7219.47998046875,7485.2998046875,15947.740234375,4677.02978515625,14935.900390625,6701.31591796875,2954.889892578125,84402.0,28478.560546875,17812.69921875,3205.260009765625,18169.759765625
2022-01-10,3593.52001953125,23746.5,7766.10009765625,60395.62890625,101945.0,36068.87109375,7115.77001953125,7445.2998046875,15768.26953125,4670.2900390625,14942.830078125,6691.1240234375,2926.719970703125,83746.0,,18003.30078125,3227.050048828125,18239.380859375
2022-01-11,3567.43994140625,23739.099609375,7710.7001953125,60616.890625,103779.0,36252.01953125,7183.3798828125,7491.39990234375,15941.8095703125,4713.06982421875,15153.4501953125,6647.97021484375,2927.3798828125,84702.0,28222.48046875,18055.75,3246.3701171875,18288.2109375
2022-01-12,3597.429931640625,24402.19921875,7762.2001953125,61150.0390625,105686.0,36290.3203125,7237.18994140625,7551.7001953125,16010.3203125,4726.35009765625,15188.3896484375,6647.06494140625,2972.47998046875,85100.0,28765.66015625,18212.349609375,3254.97998046875,18375.400390625
2022-01-13,3555.260009765625,24429.80078125,7797.5,61235.30078125,105530.0,36113.62109375,7201.14013671875,7563.89990234375,16031.58984375,4659.02978515625,14806.8095703125,6658.35595703125,2962.090087890625,85371.0,28489.130859375,18257.80078125,3257.300048828125,18436.9296875
2022-01-14,3521.260009765625,24383.30078125,7717.10009765625,61223.03125,106928.0,35911.80859375,7143.0,7543.0,15883.240234375,4662.85009765625,14893.75,6693.40087890625,2921.919921875,85481.0,28124.279296875,18255.75,3281.969970703125,18403.330078125
2022-01-17,3541.669921875,,7739.2998046875,61308.91015625,106692.0,,7201.64013671875,7611.2001953125,15933.7197265625,,,6645.0478515625,2890.10009765625,85039.0,28333.51953125,18308.099609375,3287.949951171875,18525.439453125
2022-01-18,3569.909912109375,24112.80078125,7735.7998046875,60754.859375,106522.0,35368.46875,7133.830078125,7563.60009765625,15772.5595703125,4577.10986328125,14506.900390625,6614.05908203125,2864.239990234375,83351.0,28257.25,18113.05078125,3280.0400390625,18378.640625
2022-01-19,3558.179931640625,24127.80078125,7656.60009765625,60098.8203125,108013.0,35028.6484375,7172.97998046875,7589.7001953125,15809.7197265625,4532.759765625,14340.259765625,6591.98095703125,2842.280029296875,83528.0,27467.23046875,17938.400390625,3283.93994140625,18227.4609375
2022-01-20,3555.06005859375,24952.30078125,7668.89990234375,59464.62109375,109102.0,34715.390625,7194.16015625,7585.0,15912.330078125,4482.72998046875,14154.01953125,6626.87109375,2862.679931640625,85126.0,27772.9296875,17757.0,3294.820068359375,18218.279296875
2022-01-21,3522.570068359375,24965.599609375,7490.10009765625,59037.1796875,108942.0,34265.37109375,7068.58984375,7494.10009765625,15603.8798828125,4397.93994140625,13768.919921875,6726.373046875,2834.2900390625,83623.0,27522.259765625,17617.150390625,3294.860107421875,17899.30078125
2022-01-24,3524.110107421875,24656.5,7441.5,57491.51171875,107752.0,34364.5,6787.7900390625,7297.2001953125,15011.1298828125,4410.1298828125,13855.1298828125,6655.166015625,2792.0,81004.0,27588.369140625,17149.099609375,3283.35009765625,17989.0390625
2022-01-25,3433.06005859375,24243.599609375,7248.10009765625,57858.1484375,109845.0,34297.73046875,6837.9599609375,7371.5,15123.8701171875,4356.4501953125,13539.2900390625,6568.1728515625,2720.389892578125,85180.0,27131.33984375,17277.94921875,3247.760009765625,17701.119140625
2022-01-26,3455.669921875,24289.900390625,,,111573.0,34168.08984375,6981.9599609375,7469.7998046875,15459.3896484375,4349.93017578125,13542.1201171875,6600.81884765625,2709.239990234375,85782.0,27011.330078125,,3271.570068359375,17674.400390625
2022-01-27,3394.25,23807.0,7114.5,57276.94140625,112315.0,34160.78125,7023.7998046875,7554.2998046875,15524.26953125,4326.509765625,13352.7802734375,6611.1611328125,2614.489990234375,85969.0,26170.30078125,17110.150390625,3260.030029296875,
2022-01-28,3361.43994140625,23550.099609375,7266.2998046875,57200.23046875,111478.0,34725.46875,6965.8798828125,7466.10009765625,15318.9501953125,4431.85009765625,13770.5703125,6645.51123046875,2663.340087890625,88270.0,26717.33984375,17101.94921875,3246.330078125,
2022-01-31,,23802.30078125,7268.2998046875,58014.171875,112388.0,35131.859375,6999.2001953125,7464.39990234375,15471.2001953125,4515.5498046875,14239.8798828125,6631.15087890625,,90908.0,27001.98046875,17339.849609375,3249.590087890625,
2022-02-01,,23802.30078125,7312.7998046875,58862.5703125,113147.0,35405.23828125,7099.490234375,7535.7998046875,15619.3896484375,4546.5400390625,14346.0,,,91417.0,27078.48046875,17576.849609375,,
2022-02-02,,23802.30078125,7399.60009765625,59558.328125,112161.0,35629.328125,7115.27001953125,7583.0,15613.76953125,4589.3798828125,14417.5498046875,6707.65185546875,,89663.0,27533.599609375,17780.0,,
2022-02-03,,23802.30078125,7374.60009765625,58788.01953125,111696.0,35111.16015625,7005.6298828125,7528.7998046875,15368.4697265625,4477.43994140625,13878.8203125,6683.85107421875,2707.820068359375,88091.0,27241.310546875,17560.19921875,3315.989990234375,
2022-02-04,,24573.30078125,7418.89990234375,58644.8203125,112245.0,35089.73828125,6951.3798828125,7516.39990234375,15099.5595703125,4500.52978515625,14098.009765625,6731.39111328125,2750.260009765625,87934.0,27439.990234375,17516.30078125,3331.409912109375,
